Site Name,Address,KBS #,Customer #,City,State,Crew ID,Job Type,Time In,Time Out,Status,Duration,Punch In Caller ID,Punch In Phone Type,Punch In Latitude,Punch In Longitude,Punch Out Caller ID,Punch Out Phone Type,Punch Out Latitude,Punch Out Longitude,Source,Punch Reason
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,7085,CREW,2026-06-15 18:26,2026-06-16 00:30,Closed,06:04,,"",29.824637712843533,-95.1898800101903,,"",29.82469675561048,-95.18995526974167,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,8216,CREW,2026-06-15 18:28,2026-06-16 00:30,Closed,06:02,,"",29.824671369823594,-95.189941172639,,"",29.824628728342546,-95.18990863184645,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,3701,CREW,2026-06-15 18:29,2026-06-16 00:30,Closed,06:01,,"",29.82471331397684,-95.18994625480556,,"",29.824716896188555,-95.18995968814515,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,6007,CREW,2026-06-15 18:29,2026-06-16 01:31,Closed,07:02,,"",29.8244883,-95.1894993,,"",29.8244229,-95.1894698,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,7204,CREW,2026-06-15 18:29,2026-06-16 00:30,Closed,06:01,,"",29.824662788880993,-95.18993991269542,,"",29.824649371347718,-95.18987435307311,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,3155,CREW,2026-06-15 18:30,2026-06-16 00:30,Closed,06:00,,"",29.824649592104986,-95.18992197764693,,"",29.824636157887824,-95.18989913496608,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,8398,CREW,2026-06-15 18:30,2026-06-16 00:31,Closed,06:01,,"",29.8245647,-95.1896851,,"",29.8245616,-95.1896138,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,480474019,CREW,2026-06-15 18:31,2026-06-16 00:30,Closed,05:59,,"",29.8243963,-95.189394,,"",29.8243399,-95.1894915,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,2712,CREW,2026-06-15 18:42,2026-06-16 00:30,Closed,05:48,,"",29.82683439894169,-95.19010589887058,,"",29.825035402797493,-95.18981965179628,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,0000,CREW,2026-06-15 18:45,2026-06-16 00:30,Closed,05:45,,"",29.823162363350466,-95.19580112235042,,"",29.824723676567665,-95.18996483553805,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,0000,CREW,2026-06-16 01:29,2026-06-16 05:30,Closed,04:01,,"",29.82483123156871,-95.19014408820365,,"",29.825056703286865,-95.19032285300851,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,3701,CREW,2026-06-16 01:30,2026-06-16 05:30,Closed,04:00,,"",29.824717201149806,-95.18995985269099,,"",29.825045073002613,-95.19025387537961,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,8398,CREW,2026-06-16 01:30,2026-06-16 05:30,Closed,04:00,,"",29.8245585,-95.1896175,,"",29.8245987,-95.1899738,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,7085,CREW,2026-06-16 01:30,2026-06-16 05:32,Closed,04:02,,"",29.824632922928107,-95.1898970542977,,"",29.824728723118216,-95.18997292470777,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,3155,CREW,2026-06-16 01:30,2026-06-16 05:30,Closed,04:00,,"",29.82464427166251,-95.18988717481608,,"",29.824960809961052,-95.19020499707378,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,7204,CREW,2026-06-16 01:30,2026-06-16 05:31,Closed,04:01,,"",29.824625196274525,-95.18986220619082,,"",29.824837290527984,-95.18987579877339,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,480474019,CREW,2026-06-16 01:30,2026-06-16 05:32,Closed,04:02,,"",29.8243809,-95.1894903,,"",29.8243423,-95.1893637,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,2712,CREW,2026-06-16 01:31,2026-06-16 05:30,Closed,03:59,,"",29.829389911591523,-95.19018457103616,,"",29.82487263248776,-95.189944606352,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,8216,CREW,2026-06-16 01:33,2026-06-16 05:30,Closed,03:57,,"",29.82456341822689,-95.18978582433324,,"",29.82473360615938,-95.19000334496977,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,6007,CREW,2026-06-16 02:29,2026-06-16 05:31,Closed,03:02,,"",29.8241828,-95.1896069,,"",29.8246619,-95.1900714,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,6586,CREW,2026-06-16 05:54,2026-06-16 12:02,Closed,06:08,,"",29.8280541,-95.1904927,,"",29.8242423,-95.1892998,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,6261,CREW,2026-06-16 05:55,2026-06-16 12:02,Closed,06:07,,"",29.82423,-95.1893131,,"",29.8242522,-95.1892338,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,3675,CREW,2026-06-16 05:55,2026-06-16 12:00,Closed,06:05,,"",29.824725655404006,-95.18995778448979,,"",29.824692347187963,-95.18993896149541,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,6320,CREW,2026-06-16 05:55,2026-06-16 13:30,Closed,07:35,,"",29.82466152443984,-95.18995252946257,,"",29.824506463735833,-95.1896851926545,,user
Chewy - HOU1,13250 Crosby Rd,187577,HOU1,Houston,TX,0957,CREW,2026-06-16 05:55,2026-06-16 12:00,Closed,06:05,,"",29.824733405967823,-95.18997674862601,,"",29.824760317780786,-95.19001438919705,,user
